Direction;Tipe Cahaya;Cuaca;Fungsi Jalan;Kelas Jalan;Geometri Jalan;Tipe Jalan;Kecepatan;Jenis Jalan;Kecamatan;Jenis Luka ;Age;jenis kelamin;jenis kendaraan;Atribut_Keselamatan;Kepemilikan_SIM
Timur (90°);Terang / Jelas;Cerah;Lokal / Lingkungan;II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);40;Jalan Kota / Kabupaten;Cerme;Kecelakaan Ringan;;Laki-laki;R2 (Sepeda Motor);Tidak;Tidak
Utara (0°);Terang / Jelas;Cerah;Lokal / Lingkungan;II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);50;Jalan Kota / Kabupaten;Menganti;Kecelakaan Ringan ;26-45;Laki-laki;R2 (Sepeda Motor);Tidak;Tidak
Barat (270°);Terang / Jelas;Cerah;Arteri;I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);40;Jalan Nasional;Panceng;Kecelakaan Berat ;<17;Laki-laki;Mini Truk;Iya;Tidak
Barat (270°);Terang / Jelas;Cerah;Lokal / Lingkungan;II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);50;Jalan Kota / Kabupaten;Kebomas;Kecelakaan Ringan ;17-25;Perempuan;R2 (Sepeda Motor);Tidak;Tidak
Selatan (180°);Terang / Jelas;Cerah;Lokal / Lingkungan;II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);40;Jalan Kota / Kabupaten;Driyorejo;Kecelakaan Berat ;26-45;Laki-laki;R2 (Sepeda Motor);Iya;Tidak
Utara (0°);Terang / Jelas;Cerah;Lokal / Lingkungan;II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);50;Jalan Kota / Kabupaten;Wringinanom;Kecelakaan Ringan;;Laki-laki;R2 (Sepeda Motor);Campuran;Tidak
Timur (90°);Terang / Jelas;Cerah;Lokal / Lingkungan;II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);50;Jalan Kota / Kabupaten;Manyar;Kecelakaan Fatal ;<17;Laki-laki;Mini Truk;Iya;Iya
Timur (90°);Terang / Jelas;Cerah;Arteri;I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);50;Jalan Nasional;Duduk Sampeyan ;Kecelakaan Ringan ;26-45;Laki-laki;Mini Bus;Iya;Iya
Selatan (180°);Terang / Jelas;Cerah;Arteri;I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);50;Jalan Nasional;Manyar;Kecelakaan Ringan ;46-65;Laki-laki;R2 (Sepeda Motor);Iya;Tidak
Timur (90°);Terang / Jelas;Cerah;Arteri;I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);40;Jalan Nasional;Panceng;Kecelakaan Berat ;26-45;Laki-laki;R2 (Sepeda Motor);Tidak;Tidak
Timur (90°);Terang / Jelas;Cerah;Kolektor;I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);50;Jalan Propinsi;Wringinanom;Kecelakaan Ringan ;17-25;Laki-laki;R2 (Sepeda Motor);Tidak;Tidak
Timur (90°);Terang / Jelas;Cerah;Lokal / Lingkungan;III (Jalan Kecil utk max beban 8 ton & 9 m Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);50;Jalan Desa;Panceng;Kecelakaan Ringan ;17-25;Laki-laki;R3 (Bentor / Bajaj / Bemo);Tidak;Tidak
Barat (270°);Terang / Jelas;Cerah;Lokal / Lingkungan;II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);50;Jalan Kota / Kabupaten;Menganti;Kecelakaan Berat;;Laki-laki;Truck;Tidak;Tidak
Timur (90°);Terang / Jelas;Cerah;Lokal / Lingkungan;II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);50;Jalan Kota / Kabupaten;Wringinanom;Kecelakaan Fatal ;26-45;Laki-laki;R2 (Sepeda Motor);Tidak;Tidak
Timur (90°);Terang / Jelas;Cerah;Lokal / Lingkungan;II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);40;Jalan Desa;Menganti;Kecelakaan Ringan ;<17;Laki-laki;R2 (Sepeda Motor);Tidak;Tidak
Utara (0°);Terang / Jelas;Cerah;Lokal / Lingkungan;II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);50;Jalan Kota / Kabupaten;Balongpanggang;Kecelakaan Berat ;17-25;Laki-laki;Mobil Tangki;Iya;Iya
Barat (270°);Gelap / Sulit Terlihat;Cerah;Lokal / Lingkungan;II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);40;Jalan Kota / Kabupaten;Dukun;Kecelakaan Ringan;;Laki-laki;R2 (Sepeda Motor);Tidak;Tidak
Selatan (180°);Terang / Jelas;Cerah;Lokal / Lingkungan;II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);40;Jalan Kota / Kabupaten;Manyar;Kecelakaan Ringan ;26-45;Laki-laki;R2 (Sepeda Motor);Iya;Iya
Selatan (180°);Terang / Jelas;Cerah;Kolektor;I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);50;Jalan Propinsi;cerme;Kecelakaan Ringan;;Laki-laki;R2 (Sepeda Motor);Iya;Iya
Barat (270°);Terang / Jelas;Cerah;Kolektor;I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);50;Jalan Propinsi;Wringinanom;Kecelakaan Ringan ;26-45;Laki-laki;R2 (Sepeda Motor);Tidak;Tidak
Timur (90°);Gelap / Sulit Terlihat;Cerah;Lokal / Lingkungan;II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);40;Jalan Kota / Kabupaten;Kedamean;Kecelakaan Ringan ;17-25;Laki-laki;R2 (Sepeda Motor);Tidak;Tidak
Utara (0°);Gelap / Sulit Terlihat;Cerah;Arteri;I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);40;Jalan Nasional;Cerme;Kecelakaan Ringan ;46-65;Laki-laki;R2 (Sepeda Motor);Tidak;Tidak
Timur (90°);Terang / Jelas;Cerah;Lokal / Lingkungan;II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);40;Jalan Kota / Kabupaten;Panceng;Kecelakaan Ringan ;26-45;Perempuan;R2 (Sepeda Motor);Tidak;Tidak
Selatan (180°);Gelap / Sulit Terlihat;Cerah;Lokal / Lingkungan;III (Jalan Kecil utk max beban 8 ton & 9 m Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);40;Jalan Desa;Wringinanom;Kecelakaan Ringan ;26-45;Laki-laki;R2 (Sepeda Motor);Iya;Tidak
Selatan (180°);Terang / Jelas;Cerah;Lokal / Lingkungan;II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);40;Jalan Kota / Kabupaten;Gresik;Kecelakaan Ringan;;Laki-laki;R2 (Sepeda Motor);Iya;Tidak
Utara (0°);Terang / Jelas;Cerah;Lokal / Lingkungan;II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);40;Jalan Kota / Kabupaten;Manyar;Kecelakaan Ringan ;<17;Perempuan;R2 (Sepeda Motor);Iya;Tidak
Selatan (180°);Terang / Jelas;Cerah;Lokal / Lingkungan;II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);40;Jalan Kota / Kabupaten;Driyorejo;Kecelakaan Ringan;;Laki-laki;R2 (Sepeda Motor);Iya;Tidak
Selatan (180°);Terang / Jelas;Cerah;Arteri;I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);40;Jalan Nasional;Manyar;Kecelakaan Ringan ;46-65;Laki-laki;R2 (Sepeda Motor);Iya;Iya
Barat (270°);Terang / Jelas;Cerah;Lokal / Lingkungan;II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);40;Jalan Kota / Kabupaten;Cerme;Kecelakaan Ringan ;17-25;Laki-laki;R2 (Sepeda Motor);Tidak;Tidak
Selatan (180°);Terang / Jelas;Cerah;Lokal / Lingkungan;II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);40;Jalan Kota / Kabupaten;Panceng;Kecelakaan Ringan ;17-25;Laki-laki;R2 (Sepeda Motor);Tidak;Tidak
Barat (270°);Terang / Jelas;Cerah;Arteri;I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);40;Jalan Nasional;Bungah;Kecelakaan Berat ;26-45;Laki-laki;Mini Bus;Tidak;Tidak
Selatan (180°);Terang / Jelas;Cerah;Lokal / Lingkungan;II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);40;Jalan Kota / Kabupaten;Menganti;Kecelakaan Ringan ;46-65;Laki-laki;R2 (Sepeda Motor);Tidak;Campuran
Barat (270°);Terang / Jelas;Cerah;Arteri;I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran);Lurus;4/2 TB (4 Lajur/2 Arah Tanpa Batas Median);50;Jalan Nasional;Duduk Sampeyan ;Kecelakaan Berat ;26-45;Laki-laki;Medium Bus;Tidak;Tidak
Timur (90°);Terang / Jelas;Cerah;Lokal / Lingkungan;II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);50;Jalan Kota / Kabupaten;Wringinanom;Kecelakaan Ringan ;<17;Laki-laki;R2 (Sepeda Motor);Iya;Tidak
Utara (0°);Terang / Jelas;Cerah;Lokal / Lingkungan;II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);60;Jalan Kota / Kabupaten;Kebomas;Kecelakaan Ringan ;26-45;Laki-laki;Mini Truk;Tidak;Tidak
Timur (90°);Terang / Jelas;Cerah;Arteri;I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);40;Jalan Nasional;Duduk Sampeyan ;Kecelakaan Berat ;46-65;Laki-laki;Trailer 20 Feet;Tidak;Tidak
Timur (90°);Terang / Jelas;Cerah;Lokal / Lingkungan;II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);40;Jalan Kota / Kabupaten;Cerme;Kecelakaan Ringan ;26-45;Laki-laki;R2 (Sepeda Motor);Tidak;Tidak
Barat (270°);Terang / Jelas;Cerah;Kolektor;I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);40;Jalan Propinsi;Menganti;Kecelakaan Ringan;;Laki-laki;R2 (Sepeda Motor);Tidak;Tidak
Utara (0°);Terang / Jelas;Cerah;Arteri;I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);40;Jalan Nasional;Bungah;Kecelakaan Ringan ;46-65;Laki-laki;R2 (Sepeda Motor);Campuran;Iya
Timur (90°);Terang / Jelas;Cerah;Arteri;I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);50;Jalan Nasional;Manyar;Kecelakaan Ringan ;26-45;Laki-laki;Medium Truk;Iya;Tidak
Timur (90°);Terang / Jelas;Cerah;Arteri;I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);50;Jalan Nasional;Panceng;Kecelakaan Ringan ;26-45;Laki-laki;R3 (Bentor / Bajaj / Bemo);Tidak;Tidak
Barat (270°);Terang / Jelas;Cerah;Kolektor;I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);50;Jalan Propinsi;Wringinanom;Kecelakaan Ringan ;26-45;Laki-laki;R2 (Sepeda Motor);Iya;Tidak
Utara (0°);Terang / Jelas;Cerah;Lokal / Lingkungan;II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);40;Jalan Kota / Kabupaten;Driyorejo;Kecelakaan Ringan ;17-25;Laki-laki;Mini Bus;Iya;Tidak
Utara (0°);Terang / Jelas;Cerah;Kolektor;I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran);Tikungan;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);50;Jalan Propinsi;Cerme;Kecelakaan Fatal ;46-65;Laki-laki;Truk Berat / Tronton;Iya;Tidak
Selatan (180°);Terang / Jelas;Cerah;Kolektor;I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);50;Jalan Propinsi;Driyorejo;Kecelakaan Ringan ;26-45;Perempuan;R2 (Sepeda Motor);Tidak;Tidak
Utara (0°);Terang / Jelas;Cerah;Arteri;I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);40;Jalan Nasional;Manyar;Kecelakaan Berat;;Laki-laki;R2 (Sepeda Motor);Iya;Tidak
Barat (270°);Terang / Jelas;Cerah;Arteri;I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);50;Jalan Nasional;Manyar;Kecelakaan Ringan ;17-25;Perempuan;R2 (Sepeda Motor);Tidak;Tidak
Selatan (180°);Terang / Jelas;Cerah;Kolektor;I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);40;Jalan Propinsi;Cerme;Kecelakaan Ringan ;26-45;Laki-laki;R2 (Sepeda Motor);Tidak;Tidak
Barat (270°);Terang / Jelas;Cerah;Lokal / Lingkungan;II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);40;Jalan Kota / Kabupaten;Kebomas;Kecelakaan Ringan ;26-45;Laki-laki;R2 (Sepeda Motor);Tidak;Tidak
Selatan (180°);Terang / Jelas;Cerah;Lokal / Lingkungan;II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);50;Jalan Kota / Kabupaten;Driyorejo;Kecelakaan Ringan ;46-65;Laki-laki;Mini Bus;Tidak;Tidak
Selatan (180°);Terang / Jelas;Cerah;Lokal / Lingkungan;II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);40;Jalan Kota / Kabupaten;Driyorejo;Kecelakaan Ringan ;17-25;Laki-laki;R2 (Sepeda Motor);Tidak;Tidak
Barat (270°);Gelap / Sulit Terlihat;Cerah;Lokal / Lingkungan;II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);40;Jalan Kota / Kabupaten;Balongpanggang;Kecelakaan Berat ;26-45;Laki-laki;Pick up;Iya;Tidak
Utara (0°);Terang / Jelas;Cerah;Lokal / Lingkungan;II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);50;Jalan Kota / Kabupaten;Driyorejo;Kecelakaan Berat ;<17;Laki-laki;R2 (Sepeda Motor);Iya;Iya
Utara (0°);Terang / Jelas;Cerah;Arteri;I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);50;Jalan Nasional;Sidayu;Kecelakaan Ringan;;Laki-laki;R2 (Sepeda Motor);Iya;Tidak
Barat (270°);Terang / Jelas;Cerah;Lokal / Lingkungan;II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);50;Jalan Kota / Kabupaten;Driyorejo;Kecelakaan Ringan ;17-25;Laki-laki;R2 (Sepeda Motor);Tidak;Tidak
Timur (90°);Terang / Jelas;Cerah;Arteri;I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);40;Jalan Nasional;Ujungpangkah;Kecelakaan Ringan ;<17;Laki-laki;R2 (Sepeda Motor);Iya;Tidak
Timur (90°);Terang / Jelas;Cerah;Lokal / Lingkungan;II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);40;Jalan Kota / Kabupaten;Gresik;Kecelakaan Ringan ;<17;Laki-laki;Pick up;Tidak;Tidak
Timur (90°);Terang / Jelas;Cerah;Lokal / Lingkungan;II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);40;Jalan Kota / Kabupaten;Sidayu;Kecelakaan Ringan ;26-45;Laki-laki;R2 (Sepeda Motor);Tidak;Tidak
Timur (90°);Terang / Jelas;Cerah;Arteri;I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran);Lurus;4/2 B (4 Lajur/2 Arah dengan Batas Median);40;Jalan Nasional;Duduk Sampeyan ;Kecelakaan Ringan ;26-45;Laki-laki;R2 (Sepeda Motor);Tidak;Tidak
Barat (270°);Terang / Jelas;Cerah;Kolektor;I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);50;Jalan Propinsi;Kedamean;Kecelakaan Ringan ;26-45;Laki-laki;R2 (Sepeda Motor);Tidak;Tidak
Utara (0°);Terang / Jelas;Cerah;Kolektor;I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);50;Jalan Propinsi;Menganti;Kecelakaan Berat ;46-65;Laki-laki;Medium Truk;Tidak;Tidak
Selatan (180°);Terang / Jelas;Cerah;Lokal / Lingkungan;II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);50;Jalan Kota / Kabupaten;Menganti;Kecelakaan Ringan;;Laki-laki;Truck;Iya;Tidak
Selatan (180°);Terang / Jelas;Cerah;Lokal / Lingkungan;II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);40;Jalan Kota / Kabupaten;Driyorejo;Kecelakaan Ringan ;46-65;Laki-laki;R2 (Sepeda Motor);Tidak;Tidak
Barat (270°);Terang / Jelas;Cerah;Lokal / Lingkungan;II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);50;Jalan Kota / Kabupaten;Kedamean;Kecelakaan Ringan ;26-45;Laki-laki;Mini Bus;Iya;Tidak
Barat (270°);Terang / Jelas;Cerah;Lokal / Lingkungan;II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);40;Jalan Kota / Kabupaten;Cerme;Kecelakaan Berat ;26-45;Laki-laki;R2 (Sepeda Motor);Tidak;Tidak
Barat (270°);Terang / Jelas;Cerah;Arteri;I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);50;Jalan Nasional;Sidayu;Kecelakaan Berat ;26-45;Laki-laki;R2 (Sepeda Motor);Tidak;Tidak
Utara (0°);Terang / Jelas;Cerah;Lokal / Lingkungan;II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);40;Jalan Kota / Kabupaten;Cerme;Kecelakaan Ringan ;17-25;Laki-laki;R2 (Sepeda Motor);Tidak;Tidak
Selatan (180°);Terang / Jelas;Cerah;Lokal / Lingkungan;II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);50;Jalan Kota / Kabupaten;Driyorejo;Kecelakaan Berat ;26-45;Laki-laki;Mini Bus;Iya;Tidak
Timur (90°);Terang / Jelas;Cerah;Lokal / Lingkungan;II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);50;Jalan Kota / Kabupaten;Manyar;Kecelakaan Ringan;;Perempuan;R2 (Sepeda Motor);Tidak;Tidak
Timur (90°);Terang / Jelas;Cerah;Lokal / Lingkungan;II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);40;Jalan Kota / Kabupaten;Ujungpangkah;Kecelakaan Ringan ;<17;Perempuan;R2 (Sepeda Motor);Tidak;Tidak
Timur (90°);Terang / Jelas;Cerah;Lokal / Lingkungan;II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);40;Jalan Kota / Kabupaten;Driyorejo;Kecelakaan Berat ;17-25;Laki-laki;R2 (Sepeda Motor);Iya;Tidak
Timur (90°);Terang / Jelas;Cerah;Lokal / Lingkungan;II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);50;Jalan Kota / Kabupaten;Menganti;Kecelakaan Berat ;26-45;Laki-laki;Mini Truk;Campuran;Tidak
Barat (270°);Terang / Jelas;Cerah;Lokal / Lingkungan;II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);50;Jalan Kota / Kabupaten;Driyorejo;Kecelakaan Berat ;26-45;Laki-laki;R2 (Sepeda Motor);Iya;Iya
Barat (270°);Terang / Jelas;Cerah;Lokal / Lingkungan;II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);50;Jalan Kota / Kabupaten;Kebomas;Kecelakaan Ringan ;26-45;Laki-laki;R2 (Sepeda Motor);Iya;Campuran
Utara (0°);Terang / Jelas;Cerah;Arteri;I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);40;Jalan Nasional;Cerme;Kecelakaan Ringan ;17-25;Laki-laki;Medium Truk;Tidak;Tidak
Timur (90°);Terang / Jelas;Cerah;Lokal / Lingkungan;II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);50;Jalan Kota / Kabupaten;Wringinanom;Kecelakaan Ringan;;Laki-laki;R2 (Sepeda Motor);Iya;Iya
Timur (90°);Terang / Jelas;Cerah;Kolektor;I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);50;Jalan Propinsi;Wringinanom;Kecelakaan Ringan ;26-45;Laki-laki;R2 (Sepeda Motor);Tidak;Tidak
Utara (0°);Terang / Jelas;Cerah;Kolektor;I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);50;Jalan Propinsi;Kedamean;Kecelakaan Ringan ;17-25;Laki-laki;R2 (Sepeda Motor);Tidak;Tidak
Selatan (180°);Terang / Jelas;Cerah;Lokal / Lingkungan;II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);40;Jalan Kota / Kabupaten;Menganti;Kecelakaan Ringan ;46-65;Perempuan;R2 (Sepeda Motor);Tidak;Tidak
Timur (90°);Terang / Jelas;Cerah;Lokal / Lingkungan;II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);40;Jalan Kota / Kabupaten;Menganti;Kecelakaan Ringan ;17-25;Laki-laki;R2 (Sepeda Motor);Tidak;Tidak
Timur (90°);Terang / Jelas;Cerah;Lokal / Lingkungan;II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);40;Jalan Kota / Kabupaten;Cerme;Kecelakaan Fatal ;17-25;Laki-laki;R2 (Sepeda Motor);Tidak;Tidak
Selatan (180°);Terang / Jelas;Cerah;Kolektor;I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);40;Jalan Propinsi;Cerme;Kecelakaan Ringan ;<17;Laki-laki;Mini Bus;Iya;Tidak
Utara (0°);Terang / Jelas;Cerah;Kolektor;I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);40;Jalan Propinsi;Cerme;Kecelakaan Ringan;;Laki-laki;R2 (Sepeda Motor);Tidak;Tidak
Barat (270°);Terang / Jelas;Cerah;Arteri;I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);50;Jalan Nasional;Sidayu;Kecelakaan Ringan ;<17;Laki-laki;Mini Truk;Tidak;Tidak
